county,query,lat,lon,display_name,source
1,ADAMOVEC,45.9044495,16.1633161,"Adamovec, Grad Zagreb, 10363, Hrvatska",nominatim
1,BEKETINEC,46.0139151,16.4367650,"Beketinec, Grad Križevci, Koprivničko-križevačka županija, 48265, Hrvatska",nominatim
1,BELA,46.2074177,16.2552179,"Bela, Grad Novi Marof, Varaždinska županija, Hrvatska",nominatim
1,BELEC,46.1317740,16.1205009,"Belec, Grad Zlatar, Krapinsko-zagorska županija, 49254, Hrvatska",nominatim
1,BISAG,46.0337432,16.2989057,"Bisag, Općina Breznica, Varaždinska županija, 42226, Hrvatska",nominatim
1,BOBOVICA,45.8308388,15.7142327,"Bobovica, Grad Samobor, Zagrebačka županija, Hrvatska",nominatim
1,BOGAČEVO,46.0856167,16.4332486,"Bogačevo, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,BOLČ,45.8908489,16.6763101,"Bolč, Općina Farkaševac, Zagrebačka županija, 10344, Hrvatska",nominatim
1,BORKOVEC,46.1080568,16.0835029,"Borkovec, Grad Zlatar, Krapinsko-zagorska županija, Hrvatska",nominatim
1,BOTINEC,45.7546900,15.9360374,"Mjesni odbor Botinec, Gradska četvrt Novi Zagreb - zapad, Zagreb, Grad Zagreb, 10256, Hrvatska",nominatim
1,BREZOVEC,45.9086711,16.2644717,"Brezovec Zelinski, Grad Sveti Ivan Zelina, Zagrebačka županija, Hrvatska",nominatim
1,CIRKVENA,45.9351219,16.6580807,"Cirkvena, Općina Sveti Ivan Žabno, Koprivničko-križevačka županija, 48213, Hrvatska",nominatim
1,DIJANEŠ,45.9028524,16.3558440,"Dijaneš, Grad Vrbovec, Zagrebačka županija, Hrvatska",nominatim
1,DIMITROVEC,,,,nominatim
1,DUBOVEC,46.0084447,16.2865673,"Dubovec Bisaški, Grad Sveti Ivan Zelina, Zagrebačka županija, Hrvatska",nominatim
1,DUBOVICA,46.2880157,16.6916075,"Dubovica, Općina Veliki Bukovec, Varaždinska županija, Hrvatska",nominatim
1,DULEPSKA,45.8945450,16.3426353,"Dulepska, Grad Vrbovec, Zagrebačka županija, Hrvatska",nominatim
1,DVORIŠĆE,45.9847825,16.6004514,"Dvorišće, Trema, Općina Sveti Ivan Žabno, Koprivničko-križevačka županija, 48214, Hrvatska",nominatim
1,ERDOVEC,46.0298298,16.4813125,"Erdovec, Grad Križevci, Koprivničko-križevačka županija, Hrvatska",nominatim
1,FODOROVEC,,,,nominatim
1,FUKA,45.8863448,16.5287441,"Fuka, Općina Gradec, Zagrebačka županija, 10345, Hrvatska",nominatim
1,GLOBOČEC,46.0154688,16.1581992,"Globočec, Općina Marija Bistrica, Krapinsko-zagorska županija, Hrvatska",nominatim
1,GLOGOVNICA,45.9671904,16.5272109,"Glogovnica, Koprivničko-križevačka županija, Hrvatska",nominatim
1,GOJANEC,46.2859049,16.3029011,"Gojanec, Grad Varaždin, Varaždinska županija, Hrvatska",nominatim
1,GORICA,46.2254584,16.7320479,"Gorica, Općina Rasinja, Koprivničko-križevačka županija, Hrvatska",nominatim
1,GORNJA BUKOVICA,,,,nominatim
1,GORNJA STUBICA,45.9749888,16.0175181,"Općina Gornja Stubica, Krapinsko-zagorska županija, 49245, Hrvatska",nominatim
1,GOSTOVIĆ,45.9283718,16.4445035,"Gostović, Grad Vrbovec, Zagrebačka županija, Hrvatska",nominatim
1,GOTALOVEC,46.1566949,16.2192725,"Gotalovec, Općina Budinšćina, Krapinsko-zagorska županija, Hrvatska",nominatim
1,GRABE,46.0747054,16.0078977,"Grabe, Općina Bedekovčina, Krapinsko-zagorska županija, Hrvatska",nominatim
1,GRABRIĆ,45.9008124,16.5057456,"Grabrić, Općina Gradec, Zagrebačka županija, Hrvatska",nominatim
1,GRADAC,,,,nominatim
1,GRADEC,45.9229065,16.4895691,"Gradec, Općina Gradec, Zagrebačka županija, 10345, Hrvatska",nominatim
1,GRAČANI,45.8582472,15.9740813,"Gračani - istok, Gračansko Dolje, Mjesni odbor Gračani, Gradska četvrt Podsljeme, Zagreb, Grad Zagreb, 10168, Hrvatska",nominatim
1,GRAČINA,45.9780218,16.5603046,"Gračina, Grad Križevci, Koprivničko-križevačka županija, 48214, Hrvatska",nominatim
1,GREBEN,,,,nominatim
1,GREGUROVEC,46.0297878,16.4498379,"Gregurovec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,GUŠĆEROVEC,46.0539835,16.4846780,"Guščerovec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,HAGANJ,45.9147515,16.5787186,"Haganj, Općina Gradec, Zagrebačka županija, Hrvatska",nominatim
1,HRAŠTJE,45.9782359,16.2688640,"Hrastje, Grad Sveti Ivan Zelina, Zagrebačka županija, Hrvatska",nominatim
1,HRUŠEVAC,,,,nominatim
1,HUM,45.8115399,15.5974865,"Hum, Grad Samobor, Zagrebačka županija, Hrvatska",nominatim
1,IMBRIOVEC,46.2563933,16.8216410,"Imbriovec, Općina Đelekovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,IVANEC,46.2175711,16.1204500,"Ivanec, Grad Ivanec, Varaždinska županija, 42240, Hrvatska",nominatim
1,JAKOPOVEC,46.2456352,16.4116646,"Jakopovec, Općina Jalžabet, Varaždinska županija, Hrvatska",nominatim
1,JALŠEVEC,46.2078577,16.4827167,"Jalševec Svibovečki, Grad Varaždinske Toplice, Varaždinska županija, Hrvatska",nominatim
1,KABEL,45.8380099,16.0553609,"NK Dubrava Tim Kabel, Dankovečka ulica, Dubrava, Mjesni odbor Klaka, Gradska četvrt Gornja Dubrava, Zagreb, Grad Zagreb, 10141, Hrvatska",nominatim
1,KALNIK,46.1326845,16.4866507,"Kalnik, Općina Kalnik, Koprivničko-križevačka županija, Hrvatska",nominatim
1,KAMEŠNICA,46.0164481,16.4654737,"Kamešnica, Srednji Dubovec, Grad Križevci, Koprivničko-križevačka županija, Hrvatska",nominatim
1,KAPELA,45.9897100,16.8443705,"Kapela, Općina Kapela, Bjelovarsko-bilogorska županija, Hrvatska",nominatim
1,KARLOVEC,,,,nominatim
1,KLENOVEC,46.0840030,16.4467590,"Klenovec, Sveti Petar Orehovec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,KLOKOČEVEC,,,,error
1,KOLEDINEC,46.2390102,16.7698452,"Koledinec, Općina Rasinja, Koprivničko-križevačka županija, Hrvatska",nominatim
1,KOPRIVNICA,46.1672461,16.8102183,"Koprivnica, Grad Koprivnica, Koprivničko-križevačka županija, 48000, Hrvatska",nominatim
1,KOSTANJEVAC,46.0049015,16.9391526,"Kostanjevac, Hampovica, Općina Virje, Koprivničko-križevačka županija, 43203, Hrvatska",nominatim
1,KOSTANJEVEC,46.1613615,16.2794839,"Kostanjevec, Madžarevo, Grad Novi Marof, Varaždinska županija, 42220, Hrvatska",nominatim
1,KRIŽ,45.6632061,16.5204571,"Općina Križ, Zagrebačka županija, Hrvatska",nominatim
1,KRIŽEVCI,46.0247391,16.5457794,"Grad Križevci, Koprivničko-križevačka županija, Hrvatska",nominatim
1,KRIŽOVLJAN,46.2633287,16.5545664,"Križovljan, Općina Martijanec, Varaždinska županija, 42232, Hrvatska",nominatim
1,KUPINOVEC,,,,nominatim
1,KUTNJAK,46.2717025,16.7807856,"Kutnjak, Općina Legrad, Koprivničko-križevačka županija, Hrvatska",nominatim
